Session Name | Duration
--------------------------------------------|----------
Organising Parents for Academy Improvements | 60min
Teaching Innovations in the Pipeline | 45min
Teacher Computer Hacks | 30min
Making Your Academy Beautiful | 45min
Academy Tech Field Repair | 45min
Sync Hard | lightning
Unusual Recruiting | lightning
Parent Teacher Conferences | 60min
Managing Your Dire Allowance | 45min
Customer Care | 30min
AIMs – 'Managing Up' | 30min
Dealing with Problem Teachers | 45min
Hiring the Right Cook | 60min
Government Policy Changes and New Globe | 60min
Adjusting to Relocation | 45min
Public Works in Your Community | 30min
Talking To Parents About Billing | 30min
So They Say You're a Devil Worshipper | 60min
Two-Streams or Not Two-Streams | 30min
Piped Water | 30min
